author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
he discovered first fun,UCc4KFrcicGcy0vp_JhXhhCA,,Techno Support,0,-0:00,1597516925073495,0
Karimu izerimana,UCnUvceNlV-aDPDKeUw6yRXQ,,17 min,0,-0:00,1597516925082631,0
Maco Cove,UCOSVhpR_DBxVaxDFS5Rzkcg,,Papa Techno,0,-0:00,1597516925847843,0
thet 439,UC4wzcM0MeT2pnK1EYX8B8nw,,Phil is making drugs,2,0:02,1597516926528738,2664
Diego Zucca,UC0V4DwbE-6MHIEtlGt65bNA,,pog,2,0:02,1597516926731740,2867
Lucky Star,UCjUDpfCh6Zj8qxdhOTX7bAg,,Can't wait to see everyone getting tilted cuz techno and dream are in the same team,3,0:03,1597516927133463,3269
Nitch5es,UCjzFCssjGqmLYiaZrDX-NLg,,blood for the blood,3,0:03,1597516927179587,3315
Scarlett,UCd-IpFTPLzOmbNBoGMYp5BA,,hiii got ur snacks??,3,0:03,1597516927298599,3434
bvhdm,UCvxZI-b4csQAat7JEHj9z6w,,❤ T E C H N O D R E A M 💚,3,0:03,1597516927416427,3552
poloniumdrops,UCpeP17crrTkm9QC4pb-fmQw,,❤TECHNOSUPPORT❤,4,0:04,1597516927871225,4006
SPMU 12,UCEr_0wtvrBZtwf2ESelEH8g,,​❤️TECHNOSUPPORT❤️,4,0:04,1597516928057441,4193
Meliodas Lostvayne,UCjdoU_WJacCRQOEGyH4Nw-A,,set reminder people,4,0:04,1597516928090229,4225
Chicken power,UCcbGM04ALiu8RJwYyngxOcA,,❤TECHNO SUPPORT❤,4,0:04,1597516928285241,4420
Océane Tir,UCPkJyA9dUzkx_f53pxvBQBw,,PINK PARROTS SUPPORT 🌸🐤,4,0:04,1597516928386434,4522
cohen teschke,UCZdbj9bJDSJfH4l1O33VMvA,,i think they put dream and techno on the same team on purpose. nyway🐷❤️️,6,0:06,1597516928583110,6217
TheMinceCrapBuddies,UC48q4CKZtWCJj05C1HyfkeA,,TECHNO SUPPORT,6,0:06,1597516928583325,6217
jeuc,UCSrJhOkdN1c3GnGTdGeSsLQ,New member,❤ TECHNO SUPPORT ❤,6,0:06,1597516928897817,6531
spacie,UCaLZmOcmLX3Eu3b3vNskjyQ,,POGGERS,7,0:07,1597516929416194,7050
se7en,UCzWF8LYLvVK3wUOe2XJCIWQ,Member (3 months),:_TechnoStare:what is dis emote,7,0:07,1597516929431823,7065
First Sympton,UCa305YdIJUreACCUhlPV11Q,,❤ TECHNO SUPPORT ❤,7,0:07,1597516929626424,7260
May,UCJ-B8TdVubINkAnTzYq32ig,,dream streaming as well,7,0:07,1597516929717504,7351
Jare Bear,UCWoJVcJNsJ_YRxHqC3J15YQ,New member,BLOOD FOR THE BLOOD GOD,7,0:07,1597516929868870,7502
bcsolo,UCfKNmmE6z8atP5ZL3w0XMDQ,,STREAM STARTING,7,0:07,1597516930015379,7649
Brix Fountain,UCA9ix6wGwbhZdPnIkDkWfng,,Techno blade,7,0:07,1597516930199142,7833
Ђорђе Ивановић,UCWyzqYlwTltaqDK6mrzUiGQ,,TECHNOSUPPORT,7,0:07,1597516930342714,7976
Rose,UCxj44V324tWH7e4cH9VRFGw,,ok we all know who is going to win,7,0:07,1597516930359543,7993
Don't Sub To Me I am Useless,UCtA8-GWaMilSEAWZGtY_5_g,,unpopular opinion,9,0:09,1597516931114143,9801
Onion Picker,UCH20mBeeR7C-pFHnsgf-RiA,,Shrek,10,0:10,1597516931327344,10014
Lubna Alhakeem,UCjyEWBzegYgWaQBm9w2cF6Q,,i think the team will win,10,0:10,1597516931459358,10146
That_Anime189,UCfi0PX3E3p58NkUlIpRC2JQ,,❤️💗TECHNOSUPPORT💗❤️,10,0:10,1597516931824243,10511
David Utzinger,UCiprVSaATSpbX2t7_KGllWA,,techno will win,11,0:11,1597516932829713,11498
Calin Mihai Chiperi,UCJ05-IH1TPL_i0cwzwm2TrA,,❤️ TECHNOSUPPORT ❤️,11,0:11,1597516933267969,11937
Invisible,UConRaKo1obOLvqwKtippZiA,,POGGERS,12,0:12,1597516934023008,12692
Zero Gero,UCNkhI0niDpZVuuFyKRijxrw,,🐖,12,0:12,1597516934095310,12764
chip potato,UCkQ0ne7TLfdWnlc2xbQDhww,,YPPPP,12,0:12,1597516934099149,12768
ß,UCWVOMHYgCnOF03Y2XlGWFuA,,:_TECHNOSUPPORT:,13,0:13,1597516934451297,13120
Kelly Blossom,UC3R1_Hi_diU47NUcfRK9gBA,,WE WIN THESE,13,0:13,1597516934785758,13454
Baconnwaffles0,UCsh3a0K0veTOLW8W8Z68cIg,,Dreams thumbnail is hilarious,13,0:13,1597516934824747,13507
Hayase Sama,UCvRoxBZX8OeYG_amYev7aZQ,,TECHNO IS STARTING,14,0:14,1597516935341590,14024
Abraham Levy,UCdEhiFlMcPFN4Xp6UdFQJqQ,,Techno Supprt,14,0:14,1597516935457961,14140
Toe Aung,UCvZs1cXk0GrNsGBx99gMjGQ,,IM WAITING MY HEART ABOUT TO BURST,14,0:14,1597516935549437,14232
adult man,UCbiFzuGTU7BeVx-jYJjKKYw,Member (3 months),:_TechnoHeart::_TechnoHeart::_TechnoHeart:,14,0:14,1597516935635558,14318
andrej pohar,UCjWaQgNNDACFX7b2ZSklapg,,❤ TECHNODREAM SUPPORT 💚,14,0:14,1597516936011384,14694
Yeet Police,UCaTZ3KCl0KpBtfgdtmDM54g,,BLOOD FOR THE BLOOD GOD,14,0:14,1597516936037025,14720
Oblivious Dreamor,UCjWcyLpuHdsb1DuNsnTSBAQ,,notfound is practicing,14,0:14,1597516936141690,14824
Aquantis PL,UCg1sqBxUL4pSx_e7ucXL7dA,,stream hasn't started yet and techno already made some money... jesus,14,0:14,1597516936244955,14927
Seenbean,UCV3VlLRjf0wPqyVeKmbbYtw,,BLOOD FOR THE BLOOD GOD!,15,0:15,1597516936352073,15035
Simplytechno,UCF5T_qkpjrMSG-MmmQVBJ4w,,PARROT SUPPORT,15,0:15,1597516936561967,15244
SkelePower,UChHaGp5Nhwlqp9mhndJ2PTg,,​❤TECHNOSUPPORT❤,15,0:15,1597516937116489,15794
Aleph,UCM2szf14W9DY_9t8Fgq521A,,ree,15,0:15,1597516937119401,15796
Jean Ortiz,UCQ5-C7ntdKFlIvEmNqsvpHg,,❤ T E C H N O S U P P O R T ❤,15,0:15,1597516937265417,15943
Marlon Waardenburg,UCjuGMQfRGmpv_e0aJNigVjA,,In how long?,15,0:15,1597516937282266,15959
Suskueve,UC2GF34F84-YJffPZIDN1vxw,,😲,16,0:16,1597516937402653,16080
CrackerWhacker,UCRN2ciA4MEM6U793FOwfmzw,,Techno Support,16,0:16,1597516937802999,16480
Obssesivly Analytical,UCng1WnVQxlESrXUOkt44iBA,,???,16,0:16,1597516937831968,16509
TheOrenjiPotato,UCMjIcNYR8XYshDObHRmYQVg,Member (6 months),TECHNO,16,0:16,1597516938246335,16923
GamerNinjaBilly,UCkiQh_N86kTOoFrCOD5XOLw,,DREAM,16,0:16,1597516938271043,16948
Mr. HY - Malay Anime Covers,UCV_uimC6gk27OI1ZYgjO3vQ,,HELLLLLLLLLOOOOOOO,16,0:16,1597516938283454,16961
Angelina The Owl,UCMwQ4qchO7k-HHTyuA0aBHQ,,❤ TECHNOSUPPORT ❤,17,0:17,1597516938655625,17333
Pathoposadism,UCT4QbEbf4kVm3SQULwQoi-w,,❤TECHNO SUPPORT❤,17,0:17,1597516938666467,17344
Twilight Star,UCTR9u-2k-PmvYHngbAu_Zuw,,LETTTTSSSS GOOOOOOOOOOOOOOOOOOOO,17,0:17,1597516938716397,17393
allison will,UCtj7PRlSMHrTOPKSf39IQjA,,OOH WAI,17,0:17,1597516938968737,17626
yandere. exe,UC8CLHDX_aDx26cF7Tv66n4w,,TECHNOSUPPORT,17,0:17,1597516939255011,17913
Arrow,UC2K1O-9XzTxUbeX2i8HoFGQ,,ITS ON,17,0:17,1597516939313441,17971
Jasmine Cruz,UCffEKiincEZwGvCppNBIAgA,,ooooo,17,0:17,1597516939324249,17982
DaniDamu,UC1UoiYb-ca1Z-LkXjIqHqug,,hello,18,0:18,1597516939416461,18074
Henry’s Clubhouse,UC2gdNPKHX4vpzXD-m1TRBPQ,,techno,18,0:18,1597516940020430,18678
Grilled Cheese,UCb6ul-S5dZtb7aAffqkCphw,,Pog,18,0:18,1597516940026575,18684
Cleo Ekstrand,UCmrMhDtdx7PLtA1wVhaEdew,,❤❤❤❤TECHNO AND DREAM SUPPORT💚💚💚💚,18,0:18,1597516940103847,18761
Bloxyen,UCdBvL8_u67lI95Vg-FWy7IA,,Dream team,18,0:18,1597516940257429,18915
Atsi,UCgP5qHMm8esFQN7bsRFy-2w,Member (1 month),techno,19,0:19,1597516940528706,19186
That_Anime189,UCfi0PX3E3p58NkUlIpRC2JQ,,ITS STARTING,19,0:19,1597516940694974,19352
moomoomatt5,UCiT4DUitU_N0Nky3GnC1ovQ,,WOOO!,19,0:19,1597516940920432,19578
EmeraldStarGaming ',UC85tcTa-bbLBnV1sS5WbUgA,,lol,19,0:19,1597516940939836,19597
Emerald Gaming,UCFVjBIOeqblEgk968nXetDg,,Techno support,19,0:19,1597516941042134,19779
Tejas Gupta,UCOdyXfVcKNhasPEaFNAznfw,,LATE,19,0:19,1597516941195899,19933
Cutie_ Alex,UCQYBVL0bgQRg4MfszHuJEOA,,dreamnoblade,19,0:19,1597516941210634,19947
AcleverPassword,UCfXx_KP3KuEZTZLqOT_N8NQ,,Yo,20,0:20,1597516941434101,20171
Minedy7,UCq-uWuKNfkeLTTBig2AWuqg,,LATE,20,0:20,1597516941688352,20425
ElephantGirl_,UCqpIUt1toP_9UgapteKxN9g,,👑❤️Techno Dream Support 💚⚪,20,0:20,1597516941707965,20445
Rn1024,UC3REInt8YERz_cjwtOALlkw,,YES,20,0:20,1597516942144505,20881
Karma,UC0TW3KvSWpkhcCl2Umet8Lw,,POG,20,0:20,1597516942246335,20983
Wouter de Bruin,UCP9iGzQTXgMVVeHcH_3OZzg,,Ey,21,0:21,1597516942377348,21114
ahmo2op,UCKozr5CHZf7_HYe2GUy72-A,,POG,21,0:21,1597516942563961,21301
nyhao,UCyOm--LkjzTmmez5fVAA9qQ,,POGCHAMP,21,0:21,1597516942641892,21379
Hair J,UCKK3scKSrO-6a-FG9CqrsZQ,,HEY,21,0:21,1597516942686526,21423
Hop Hop,UC9BRGH5qXWgpYDZowK6pCow,Member (2 months),Aye,21,0:21,1597516942970871,21708
taiyxkii,UCrr9EQRKhLlcaW6k6ID7ZuA,,YAYAYAYY,21,0:21,1597516942997802,21735
David Gervais,UCWPmce2IeAkl45RxMBjX9Ag,,​♥️TECHNO SUPPORT♥️,21,0:21,1597516943164951,21878
1 1,UCZvdtJT8LW6opGOL6tw0uxg,,THE DREAM TEAM,21,0:21,1597516943184191,21897
Jooponie,UC9WW95vRgjl1wnRClvomWCA,,POG,21,0:21,1597516943235678,21949
bláth,UC4G5o3D30jO47R_kekRfGTg,,HEY TECHNO,21,0:21,1597516943257971,21971
Sleeply Gremlin,UC_asXAhF-kAnX4VYJK_wNfA,,♥️TECHNO SUPPORT♥️,22,0:22,1597516943297302,22011
Frostickle,UCQ70QQ8_uUIrt3fMBraFW_g,,TECHNO POG,22,0:22,1597516943419569,22133
Marcos Torres,UCg_6QCo1JqNeKipGItfk-aA,,wuuuuuuuuu,22,0:22,1597516943462040,22175
incorect63,UCURgnMlt5mYg1DljsImFivQ,,He’s not even here yet,22,0:22,1597516943500195,22213
Fang,UCHQKMaWPyaKpGEQB5DmBuFw,,Hello!,22,0:22,1597516943728026,22441
OlavPlays1,UCrBuWM7j3d9ZXbvPGL0op3w,,LETS Go,22,0:22,1597516943736940,22450
mintygirl84,UCNCc2hTT5BUs6ykVkbxbFmw,,hallo 🙋,22,0:22,1597516944027307,22741
Benjamin J.,UCKVf3itJe_X_H_JwSpetp4A,,"WE""RE LIVE",22,0:22,1597516944067000,22780
Leonite,UCflHOMzLCIbaqBiwQdUWxiw,,YES,22,0:22,1597516944195863,22909
Abraham Jiang,UC-LblYKN2By0fAIwiLOM4qg,,POG,23,0:23,1597516944319054,23032
Vitrex,UCCb_njMl2ffihB9JW8HhTww,,AYEEE,23,0:23,1597516944415875,23129
GoLd D RiCe,UCwfVzeLEBcV6C5obHDUcJ-w,,hi,23,0:23,1597516944437016,23150
Grant MacDonald,UCUHXBJcL_a8YQynPP8Ah1vw,,Poggggg,23,0:23,1597516944446702,23160
LMFAO,UCi_rpzMO13j6RW255n2wJ3w,,streaming starting,23,0:23,1597516944479535,23193
Sh3d2wDr3g4n,UC0jydPb_Emjj3yUQVHDvb2Q,,OOOHHHH,23,0:23,1597516944506833,23220
Strongest card Ace of spades,UCbwyJMz0vxJai8luW8iveNw,,POG?,23,0:23,1597516944798685,23512
YaBoiSatya,UCl4dzOKcpcseLJq623DV8Ig,,YO,23,0:23,1597516944800674,23514
Gabi Barenberg,UCLjmHovsfaNroQk5eKJTmXw,,TECHNOO,23,0:23,1597516944961976,23675
Dylan The Blade,UCWVczMAXsAlMD79i0INW8tg,,❤TECHNOSUPPORT❤,23,0:23,1597516944981532,23695
Flaming Timelord [FTL YT],UCUtD1G8Hqsts88_O-7yq6rw,,yes,23,0:23,1597516945137400,23820
Adeeb Harb,UCTpCdZC7SN_e_b_WbXAB9Pg,,hello techno,24,0:24,1597516945546911,24230
Matthew Soliz,UCWg0REbsm4tJGUx3qyE-D4Q,,hiiiiiii,24,0:24,1597516945778579,24462
Lilieth Phantom,UCu6IY-JqyD6Yp3yRaUrEX0g,,OHHHH,24,0:24,1597516945873342,24556
Rachael Crocker,UCgLqjKEjQCwzeBP8vqSNG2w,,YES YES YES Y E S,24,0:24,1597516945893681,24577
Stephen Viray,UC2a778YMolrUBpvAkcoh0AQ,,What time does the tournament start?,24,0:24,1597516946087442,24770
Vigro Vigro,UCuAgmCiidi-CJZnHX7NrFkA,,YESSIR,24,0:24,1597516946269622,24953
Andrea Gaio,UC0eNsWM9JmTXTWPqr-pn5jw,,💪🏼techno,25,0:25,1597516946695944,25379
MiniMin,UCY6aLI_yUA_agqDW0N37R-g,,late,25,0:25,1597516947058536,25742
Tiny noob,UC2LdLajWor6s8m4iAiP0GDw,,Pog,25,0:25,1597516947102267,25785
owo soph,UCTG1E80Dhz4_StaFroGw-2g,,YES,25,0:25,1597516947109675,25793
Gavin Chen,UCs5tZ3mvthQLSjIgW0ASICA,,Yesss,26,0:26,1597516947313535,26025
Grafik Komputerowy,UC59Wrf6gBE580Cfb-LtY9gw,,POGGERS,26,0:26,1597516947396955,26108
Pikpi Art,UC8NoZh9K5avbiwBpn3gAa8w,,pog,26,0:26,1597516947504811,26216
Clay,UCJ-rRuvvXZ8Om3bUPQ_5G_w,,@technoblade hello,26,0:26,1597516947807706,26519
Ulti2407,UCzJDEhkGWl8FIOqxeGMDl0w,,hey,26,0:26,1597516947948569,26660
Finlay Waddington,UCwFMRHHDqG7GlUa4Ak5P3hg,,Let’s go,26,0:26,1597516947971177,26683
DeltaRGD,UC5kXvo2zLernZ3NGAeWHBJw,,hype,26,0:26,1597516948074669,26786
ttteeedddoooggg _,UCnYAmDmvYSvgZGHs1x5q1VQ,,POG,26,0:26,1597516948221297,26933
amon,UCqYKlwubYWzrsR5W26mR8cA,,WOAH,27,0:27,1597516948492943,27204
mckenna,UCVCl8H7IMOrxJ4g2ziY02zA,,BLOOD FOR THE BLOOD GOD,27,0:27,1597516948811157,27523
Nick Olinger,UCET-sIJ13b0tqbELwqGvE4Q,,POG,27,0:27,1597516948811445,27523
Classia _I,UCVpdj9F0h4ipq2R-kZ_JWgw,,TECHNO,27,0:27,1597516949018535,27730
Aleks Mercieca,UCc2s9lFUTrjBsdiAHe2UF1A,,HELLO JIDE,27,0:27,1597516949241275,27923
Temsaya,UCHSI4-AMJbYpjPa_Bu_K30g,,hello,27,0:27,1597516949304988,27987
IAmCatto,UC7N-W7J1XJyY_u3a1hsRR4w,,Aa!!,28,0:28,1597516949372064,28054
nice,UCSSjZqHhNHjhBE9UBcA4Hig,,TECHNO,28,0:28,1597516949412360,28094
Arnbjørn Bjarnarson,UCYz4Xw6U0igQT7r2HsMDsug,,yew,28,0:28,1597516949419860,28102
allison will,UCtj7PRlSMHrTOPKSf39IQjA,,OH YEAH,28,0:28,1597516949606133,28288
TheRealSepTive,UCH8wX4yfTLRUpStpA_xykYQ,,Yooooooooo,28,0:28,1597516949714439,28396
Piotr Wiśniewski,UCIsanlO9OF-ORqIp5pRSlww,,YES,28,0:28,1597516949787865,28470
CaptBlade,UCLuSMBppIcvKjNnttf1KfWw,,EZZZ,28,0:28,1597516949921842,28604
Excitin,UCyNDJ5upiQAPLvL4ZORCnJQ,,TECHNO,28,0:28,1597516949973885,28656
[] bread [],UCzUQo7gDqB4MYrNhVyoOEKw,,HELLO,28,0:28,1597516950091834,28774
CrackerWhacker,UCRN2ciA4MEM6U793FOwfmzw,,:elbowcough:,29,0:29,1597516950813183,29495
MILIAKTS HAVEN,UC3BuLToyzcnAopfJTJe7KgQ,,Techno lets win,29,0:29,1597516950821370,29503
NeoThunder,UCd1Hdm0dT32NQn1A1DDYTlA,,O:,29,0:29,1597516950976158,29658
GodoRBLX,UCCekp_fUxyvdsVGzM-uO9Vg,,OMG,29,0:29,1597516951103081,29785
Rianna :P,UCWztEzepZrviyIEnINuborQ,,AYOOOOOOO,29,0:29,1597516951119089,29801
Mia Alvarez,UCBSFUNf_qYQ1SajDhBbco9Q,,HI,29,0:29,1597516951165899,29838
Nate Fryling,UCgGhazqOP5za1UVFS9yuUQg,,Techno,29,0:29,1597516951271908,29944
Jack Cooley,UCMDykvPAulYF9pPScGfNB5A,,YEEEEEEEEEEAH,29,0:29,1597516951299630,29972
Sam -,UCgEZhENV8p3_KrlbUh9RRJw,,YAAAAY,30,0:30,1597516951330259,30003
Adele Christian,UCmp5YYyrKHsI0dbVMZ9DItQ,,HELLO HELLO,30,0:30,1597516951447302,30120
Sammi.3x3,UCWcN9xlqJndUzawvEzRP3ag,,LMAO,30,0:30,1597516951485614,30158
Cutie_ Alex,UCQYBVL0bgQRg4MfszHuJEOA,,#dreamnoblade,30,0:30,1597516951532957,30205
Random person on the internet,UCG5--7RaDKfe5g4fudoStRw,,Ok,30,0:30,1597516951730416,30403
KENNOODLE,UCafpHX_OU0NJ2CHihvQUqCA,,hhhh,30,0:30,1597516951899610,30572
Denreib,UCVzsGmkLqn383DQc4lM86Yg,,woo,30,0:30,1597516952162252,30835
m-Kh3ild,UCYn_m1dbTGi7Opkl7hpbJHA,,HELLO,30,0:30,1597516952302377,30975
Creator 290,UCAyAvYPk1_ML58qR2BUCrAw,,REMEMBER TO SPAM USEFUL TIPS DURING MCC INSTEAD OF JUST CATCHPHRASES,31,0:31,1597516952406995,31079
Dragonflight55,UCUbK0ML2ktO_L6Uv8PAatKA,,Technosupport,31,0:31,1597516952485544,31158
avidsquirrel,UCTlw8tyN8HdEkXAiBZEt_kQ,,Hi,31,0:31,1597516952553246,31226
Sebi Z,UCzUySxAxXnKcPtg0mqirbUw,,Pog,31,0:31,1597516952580587,31253
Vaca the Cow,UCS0OwNbdQAMtsZtq4wzwnVQ,,technosupport,31,0:31,1597516952919397,31592
Tom Steed,UCTrZ4piYATSfEvyxLtMOnXw,,hello,31,0:31,1597516953088986,31761
ariessing,UCEfcn5tFkQnzkBoM60bLgcg,,YO,31,0:31,1597516953099213,31772
Clyst,UCE7TP_RCgBVpll0PY4JGpQQ,,TECHNO STREAM,31,0:31,1597516953213214,31889
Xymah,UCWSRHzKtHTExoRcHNp4tzKg,,Heyyyy,32,0:32,1597516953463349,32139
TakoKing2121,UCc2C9iSGYEkDMxrk1FxMo0w,,why are people stanning over techno and dream,32,0:32,1597516953513706,32189
Siripatsorn Jinrakthamma,UCmWz1yvjANrSQmf7F9ehW5w,,"TECHNOOO AA,KK",32,0:32,1597516953661435,32337
Miniwa,UCYxzrLUCp2iL5Vy0vgKZ8ew,New member,LETS GOOOOOOOOOOO,32,0:32,1597516953723608,32399
Synatic Dez,UCeQ4hxd1Ve77d3V_RpjSolA,,Yooooooo,32,0:32,1597516954031534,32707
Zup Cun,UCe3Om_SAND8r3l59kF8v2NQ,,POG,32,0:32,1597516954034081,32710
Catthewood 74,UCJMTPzEN92JK0SkEqCR8WlQ,,Pog,32,0:32,1597516954157269,32833
aeriesdreaming,UCRRnAwfpsG8FDIdG-8bJ6_A,,TECHNOO,33,0:33,1597516954415817,33092
KonradGamerTV,UC1c-m5vLrKhAdfLpvfTmA1Q,,Hi,33,0:33,1597516954501149,33177
amnxsi4,UC0AAL-Bj2bFaN6Q-juYy5Jg,,POGGGGG,33,0:33,1597516954595389,33271
sqntax,UC8GDBFmh7kMA79Edhd15B-g,,HELLLO,33,0:33,1597516954904541,33580
Dominio’s Pizza,UCzfMlzIIrrBtlUpI9knNmlQ,,Pog,33,0:33,1597516954929708,33605
Darklight._. World,UCMY0hKlTK2g0HtcbF4aGX0w,,HELLO,33,0:33,1597516955005992,33682
NitroRabbit,UClqS7jFNtjoM4S85MXcuJ5w,,POG,33,0:33,1597516955353270,33887
siria.,UCuHDmPchUvgjV4Ti_EPedRA,,hiiiii,33,0:33,1597516955381802,33915
Jordan Plays,UCrBFTBnqW832JVYl1pUqoOg,,Hi,33,0:33,1597516955429245,33963
FreeeShavacado QT,UCntRcIIx57xNjS0fcAqzj1g,,Pog,33,0:33,1597516955436905,33970
postscratch,UCDkblkwWOrseTtAhUaSKo3g,,HEYYY,33,0:33,1597516955445166,33979
TakingBackJerusalem,UCXsq9CTUP5qAtAuh4H_M4UA,,TECHNO POG,34,0:34,1597516955471486,34005
HamX,UC3aPRw-rTiaAIKRhbrZQ7gw,,Your screen,34,0:34,1597516955492063,34025
Minecraft Lets plays,UCnWBTFJEfTEkk3GDMPXQSPw,,hi,34,0:34,1597516955612883,34146
Nicole Jimenez,UCAlCfXp-FJuLOguKAYMI6-w,,yo,34,0:34,1597516955748094,34281
ElenaWolfy,UCaEEHxow0MP2Q58NWya-Kxw,,POGGG,34,0:34,1597516955797923,34331
maybeitsright,UCQ1SBjH_9gwsx947WISQxTg,,AYYYYYYYYYY,34,0:34,1597516956004879,34538
IGNS ST,UCgWbIzHhCLmWh8m64-VQLGw,,bruhh,34,0:34,1597516956064578,34598
Manga Reader 831,UCNSKfSPxg5pA7j3d2MhMI4Q,,yes,34,0:34,1597516956163250,34697
LaZe Creed,UC2WVuFFcGxaLPMDBlYFhMgQ,,Bra,34,0:34,1597516956168612,34702
Klance is canon thankyou,UCbsLutWaWuTYR1rhAJ5Z_zQ,,YO,34,0:34,1597516956217206,34751
tttlol101,UCE6CNtEuMp0gDiW7pY30aiw,,yeeeeeeasss,34,0:34,1597516956278045,34811
Aslym,UCWYv5jTNY6Bd6mMR6EB3gdg,,Hi love!!,34,0:34,1597516956344069,34877
FireLightSounds,UCMoYIwovJi1x124A0igJImw,,LIVE!!!,35,0:35,1597516956612930,35146
zach the zoomer,UCSlptJ1152hhis3qz-Wf5lA,,pog,35,0:35,1597516956684378,35218
bigdaddy_Urtrash,UC1KBALk6VSG8J7BagwkZV5Q,,i love you,35,0:35,1597516956925098,35458
NOAH ROSE,UCy_A330Rql3j9WxmV233fQQ,,hewwo,35,0:35,1597516957014259,35548
Ahmad Basim,UCiqW64E5OwwwDbcwzm8C2gA,,Yooooo,35,0:35,1597516957022318,35556
TriGN,UCFeyAASaL_VihfWgpd4POTw,,HIIIIIIIIIIIIIIIIIIIIII,35,0:35,1597516957066716,35600
WeAreBigPedals,UCsma5TLmEZ7162NWMFett6w,,yoooooooooo,35,0:35,1597516957148445,35682
grace froberg,UCA-czEBs64DvBCKLnmcVwlA,,YES,36,0:36,1597516957306363,36010
Landon 543,UCX5o1qKZ8VZFgWq5KgmbpuQ,,it has began,36,0:36,1597516957539212,36242
Your Worst Nightmare,UCnsTBXJ4Nx08zGhRkDG7HNg,,HI TECHNO,36,0:36,1597516957678436,36382
Michael The Microwave,UCiHq3V9SogtodSdSOggWIYw,,Omg,36,0:36,1597516957727260,36430
EgoSumMaximus25,UCeWvnrCZGRMx09oPRNtT_Fg,,TECHNOPOG,36,0:36,1597516957899754,36603
beewithanose,UCUdTHigNlhm1uLumiLs0vow,,techno!!!,36,0:36,1597516957964389,36668
Grindiflin,UCPSKnUW-toYWTTmD6eDfyZQ,,I am so early,36,0:36,1597516958113282,36816
Totoba S,UCvxPTSK_x1Nw18r6f_tROIw,,​​❤ TECHNOSUPPORT 💚,36,0:36,1597516958222972,36926
Piotr Wiśniewski,UCIsanlO9OF-ORqIp5pRSlww,,TECHNOSUPPORT,37,0:37,1597516958297121,37000
Paulo Andre Gonzalez Quijano,UCIoifMG8CoZPLfSXezbnqiw,,YES,37,0:37,1597516958446046,37149
Mihai Draguța,UCcIDXWQ3igEWNwHyM_FOZPA,,omg,37,0:37,1597516958620785,37324
NIGHTMAN,UC60sFnLUmv7HF01CZjMQuaQ,,boiiiii,37,0:37,1597516958716655,37420
Pursue,UCZEXwCtRLsxnS9gV_g_MjxQ,,Lesgooooii,37,0:37,1597516958754153,37457
ItsFrickenMe,UCqMh9ESJ6AlWnGmtM3METBA,,Yeeee,37,0:37,1597516958993071,37696
Gizmø,UC5TRtxJh5Vb-ICO9EW14fYw,,hiii,37,0:37,1597516959120643,37824
